Phone,FriendlyName,AreaCode,City,Usage2025,DateCreated
+1 (714) 586-8806,(714) 586-8806 - Delivery Farm,714,"Orange County, CA",2468,2021-09-10
+1 (714) 597-6177,(714) 597-6177 - Delivery Farm,714,"Orange County, CA",2457,2021-09-10
+1 (714) 242-8570,Delivery Farm 25,714,"Orange County, CA",2444,2020-09-04
+1 (714) 519-2313,(714) 519-2313 - Delivery Farm,714,"Orange County, CA",2442,2021-09-10
+1 (714) 586-8248,(714) 586-8248 - Delivery Farm,714,"Orange County, CA",2433,2021-09-10
+1 (949) 519-4254,(949) 519-4254 - Delivery Farm,949,"South Orange County, CA",2002,2021-09-10
+1 (949) 519-4240,(949) 519-4240 - Delivery Farm,949,"South Orange County, CA",1989,2021-09-10
+1 (949) 373-3998,Delivery Farm 23,949,"South Orange County, CA",1965,2020-09-04
+1 (949) 506-2370,(949) 506-2370 - Delivery Farm,949,"South Orange County, CA",1963,2021-09-10
+1 (949) 519-4175,(949) 519-4175 - Delivery Farm,949,"South Orange County, CA",1949,2021-09-10
+1 (949) 519-4321,(949) 519-4321 - Delivery Farm,949,"South Orange County, CA",1946,2021-09-10
+1 (949) 379-1246,(949) 379-1246 - Delivery Farm,949,"South Orange County, CA",1914,2021-09-10
+1 (949) 326-2882,(949) 326-2882 - Delivery Farm,949,"South Orange County, CA",1913,2021-09-10
+1 (949) 519-4171,(949) 519-4171 - Delivery Farm,949,"South Orange County, CA",1904,2021-09-10
+1 (949) 426-7706,(949) 426-7706 - Delivery Farm,949,"South Orange County, CA",1888,2021-09-10
+1 (408) 549-2182,(408) 549-2182 - Delivery Farm,408,"San Jose, CA",1812,2021-10-01
+1 (650) 618-2209,(650) 618-2209 - Delivery Farm,650,"San Mateo/Palo Alto, CA",1738,2021-10-01
+1 (408) 351-4056,(408) 351-4056 - Delivery Farm,408,"San Jose, CA",1706,2021-10-01
+1 (650) 618-2160,(650) 618-2160 - Delivery Farm,650,"San Mateo/Palo Alto, CA",1672,2021-10-01
+1 (424) 414-7293,Delivery Farm 3,424,"Los Angeles, CA",1659,2019-10-26
+1 (408) 549-2468,(408) 549-2468 - Delivery Farm,408,"San Jose, CA",1585,2021-10-01
+1 (209) 314-8944,Delivery Farm 17,209,"Stockton/Modesto, CA",1570,2020-09-04
+1 (858) 203-2710,Delivery Farm 7,858,"San Diego, CA",1266,2020-09-04
+1 (925) 304-3717,(925) 304-3717 - Delivery Farm,925,"Contra Costa, CA",1260,2021-05-03
+1 (858) 203-2747,Delivery Farm 9,858,"San Diego, CA",1232,2020-09-04
+1 (925) 744-6486,(925) 744-6486 - Delivery Farm,925,"Contra Costa, CA",1232,2021-10-01
+1 (858) 203-2776,Delivery Farm 8,858,"San Diego, CA",1227,2020-09-04
+1 (858) 203-2782,Delivery Farm 10,858,"San Diego, CA",1227,2020-09-04
+1 (512) 722-7714,(512) 722-7714 - Delivery Farm,512,"Austin, TX",1220,2021-10-19
+1 (512) 722-7452,(512) 722-7452 - Delivery Farm,512,"Austin, TX",1219,2021-10-19
+1 (858) 203-2785,Delivery Farm 16,858,"San Diego, CA",1217,2020-09-04
+1 (512) 722-7562,(512) 722-7562 - Delivery Farm,512,"Austin, TX",1209,2021-10-19
+1 (858) 203-2795,Delivery Farm 13,858,"San Diego, CA",1204,2020-09-04
+1 (858) 203-2746,Delivery Farm 26,858,"San Diego, CA",1193,2020-09-04
+1 (858) 203-2735,Delivery Farm 22,858,"San Diego, CA",1190,2020-09-04
+1 (858) 203-2790,Delivery Farm 14,858,"San Diego, CA",1188,2020-09-04
+1 (512) 722-7694,(512) 722-7694 - Delivery Farm,512,"Austin, TX",1184,2021-10-19
+1 (925) 744-6307,(925) 744-6307 - Delivery Farm,925,"Contra Costa, CA",1182,2021-10-01
+1 (858) 203-2733,Delivery Farm 12,858,"San Diego, CA",1181,2020-09-04
+1 (858) 203-2760,Delivery Farm 18,858,"San Diego, CA",1173,2020-09-04
+1 (925) 744-6462,(925) 744-6462 - Delivery Farm,925,"Contra Costa, CA",1168,2021-10-01
+1 (858) 203-2724,Delivery Farm 6,858,"San Diego, CA",1165,2020-09-04
+1 (858) 203-2714,Delivery Farm 19,858,"San Diego, CA",1159,2020-09-04
+1 (925) 744-6488,(925) 744-6488 - Delivery Farm,925,"Contra Costa, CA",1158,2021-10-01
+1 (512) 722-7655,(512) 722-7655 - Delivery Farm,512,"Austin, TX",1148,2021-10-19
+1 (858) 203-2744,Delivery Farm 11,858,"San Diego, CA",1135,2020-09-04
+1 (321) 257-3488,(321) 257-3488 - Delivery Farm,321,"Orlando, FL",855,2021-09-10
+1 (407) 305-6266,(407) 305-6266 - Delivery Farm,407,"Orlando, FL",844,2021-09-10
+1 (407) 305-6202,(407) 305-6202 - Delivery Farm,407,"Orlando, FL",828,2021-09-10
+1 (352) 290-2048,(352) 290-2048 - Delivery Farm,352,"Gainesville/Ocala, FL",824,2021-09-10
+1 (407) 305-6110,(407) 305-6110 - Delivery Farm,407,"Orlando, FL",796,2021-09-10
+1 (352) 290-4570,(352) 290-4570 - Delivery Farm,352,"Gainesville/Ocala, FL",790,2021-09-10
+1 (352) 280-3052,(352) 280-3052 - Delivery Farm,352,"Gainesville/Ocala, FL",781,2021-09-10
