Phone,City,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,TotalOutbound,OptOuts2025,OptOutRate,Inbound2025,Engagement,EngageRate
+1 (949) 519-4175,South Orange County,CA,575,406,164,168,143,106,83,123,70,94,17,1949,7,0.36,65,58,2.98
+1 (949) 519-4321,South Orange County,CA,563,417,170,155,136,104,97,146,58,83,17,1946,9,0.46,83,74,3.8
+1 (949) 379-1246,South Orange County,CA,575,380,171,143,139,112,91,150,68,72,13,1914,9,0.47,58,49,2.56
+1 (949) 326-2882,South Orange County,CA,598,382,176,166,125,92,80,142,66,70,16,1913,12,0.63,71,59,3.08
+1 (949) 519-4171,South Orange County,CA,580,407,180,151,127,91,89,129,58,79,13,1904,11,0.58,67,56,2.94
+1 (949) 426-7706,South Orange County,CA,566,371,160,164,153,104,80,112,71,87,20,1888,15,0.79,63,48,2.54
+1 (408) 549-2182,San Jose,CA,365,232,201,180,215,160,144,129,68,97,21,1812,10,0.55,57,47,2.59
+1 (650) 618-2209,San Mateo/Palo Alto,CA,347,255,199,145,178,173,157,97,70,92,25,1738,18,1.04,67,49,2.82
+1 (408) 351-4056,San Jose,CA,358,207,187,163,176,158,131,126,84,94,22,1706,10,0.59,380,370,21.69
+1 (650) 618-2160,San Mateo/Palo Alto,CA,323,239,203,174,162,166,127,98,55,108,17,1672,21,1.26,47,26,1.56
+1 (424) 414-7293,Los Angeles,CA,310,287,189,153,180,164,116,89,76,83,12,1659,22,1.33,45,23,1.39
+1 (408) 549-2468,San Jose,CA,333,190,188,157,150,145,131,117,60,103,11,1585,9,0.57,44,35,2.21
+1 (209) 314-8944,Stockton/Modesto,CA,407,236,164,136,129,107,116,90,75,95,15,1570,15,0.96,46,31,1.97
+1 (858) 203-2710,San Diego,CA,423,159,115,95,106,92,68,91,47,44,26,1266,3,0.24,64,61,4.82
+1 (925) 304-3717,Contra Costa,CA,228,153,155,119,130,128,105,85,56,87,14,1260,6,0.48,40,34,2.7
+1 (858) 203-2747,San Diego,CA,416,178,94,96,94,82,81,74,56,44,17,1232,0,0.0,42,42,3.41
+1 (925) 744-6486,Contra Costa,CA,229,166,136,127,130,111,114,83,38,88,10,1232,10,0.81,42,32,2.6
+1 (858) 203-2776,San Diego,CA,418,155,98,83,113,81,82,91,33,51,22,1227,4,0.33,43,39,3.18
+1 (858) 203-2782,San Diego,CA,388,176,104,95,112,87,71,98,43,38,15,1227,2,0.16,48,46,3.75
+1 (858) 203-2785,San Diego,CA,373,164,101,99,110,90,82,89,48,42,19,1217,3,0.25,38,35,2.88
+1 (858) 203-2795,San Diego,CA,381,144,109,76,92,100,73,89,47,67,26,1204,4,0.33,45,41,3.41
+1 (858) 203-2746,San Diego,CA,402,177,74,89,102,70,86,85,47,45,16,1193,6,0.5,47,41,3.44
+1 (858) 203-2735,San Diego,CA,371,158,103,92,102,83,88,79,44,48,22,1190,4,0.34,48,44,3.7
+1 (858) 203-2790,San Diego,CA,399,154,99,82,98,81,66,105,49,41,14,1188,3,0.25,45,42,3.54
+1 (925) 744-6307,Contra Costa,CA,218,157,146,103,123,80,117,80,53,95,10,1182,10,0.85,39,29,2.45
+1 (858) 203-2733,San Diego,CA,401,143,105,87,93,81,82,82,47,39,21,1181,2,0.17,50,48,4.06
+1 (858) 203-2760,San Diego,CA,361,156,112,84,96,83,73,94,50,45,19,1173,3,0.26,60,57,4.86
+1 (925) 744-6462,Contra Costa,CA,205,125,142,117,121,109,105,82,51,103,8,1168,8,0.68,48,40,3.42
+1 (858) 203-2724,San Diego,CA,379,148,94,91,97,97,62,97,35,51,14,1165,4,0.34,47,43,3.69
+1 (858) 203-2714,San Diego,CA,340,164,94,86,86,92,84,90,57,50,16,1159,2,0.17,33,31,2.67
+1 (925) 744-6488,Contra Costa,CA,212,142,121,120,116,120,101,79,45,89,13,1158,11,0.95,48,37,3.2
+1 (858) 203-2744,San Diego,CA,376,141,75,94,101,86,79,72,45,54,12,1135,7,0.62,37,30,2.64
+1 (321) 257-3488,Orlando,FL,186,121,80,83,98,66,49,61,45,53,13,855,3,0.35,31,28,3.27
+1 (407) 305-6266,Orlando,FL,169,109,95,77,96,79,62,53,49,50,5,844,2,0.24,27,25,2.96
+1 (407) 305-6202,Orlando,FL,182,126,78,87,69,89,68,40,42,40,7,828,2,0.24,25,23,2.78
+1 (352) 290-2048,Gainesville/Ocala,FL,181,95,96,78,85,76,59,67,33,48,6,824,2,0.24,31,29,3.52
+1 (407) 305-6110,Orlando,FL,157,109,74,87,87,64,76,49,36,51,6,796,1,0.13,25,24,3.02
+1 (352) 290-4570,Gainesville/Ocala,FL,147,107,74,73,78,81,64,60,49,48,9,790,3,0.38,22,19,2.41
+1 (352) 280-3052,Gainesville/Ocala,FL,157,89,78,67,99,76,60,57,45,47,6,781,0,0.0,50,50,6.4
+1 (512) 722-7714,Austin,TX,567,123,83,84,88,65,74,54,35,38,9,1220,5,0.41,39,34,2.79
+1 (512) 722-7452,Austin,TX,597,104,89,60,100,70,67,58,28,39,7,1219,5,0.41,44,39,3.2
+1 (512) 722-7562,Austin,TX,542,106,94,86,89,91,55,56,39,40,11,1209,7,0.58,34,27,2.23
+1 (512) 722-7694,Austin,TX,535,108,91,74,97,64,66,53,44,45,7,1184,6,0.51,43,37,3.12
+1 (512) 722-7655,Austin,TX,536,92,86,67,89,66,68,60,35,44,5,1148,8,0.7,34,26,2.26
