Campaign Date,Campaign Type,Subject Property,Property Type,Listing Status,Property Collection Count,Messages Sent,Success Rate %,Opt Outs,Opt Out %,Initial Click Count,Initial Click % (CTR),CTA Clicked (Submitted),CTA Verified,Agent SMS Notify Count,Agent Notify Twilio Cost,Total Twilio Cost,Text Message ID,Text Message,CTA ID Presented,CTA URL
10/21/2025,Competition Command,408 Euclid Ave,SFR,Sold,75,75,80.0,0,0.0,0,0.0,0,0,0,$0.0000,$1.2118,1689049,,,https://mve.re/go/2/9kZGj
10/21/2025,Competition Command,5690 Chelton Drive,SFR,Active,75,73,72.6,0,0.0,0,0.0,0,0,0,$0.0000,$1.1952,1689124,,,https://mve.re/go/1/oN66p
10/21/2025,Competition Command,3750 Harrison St,SFR,Sold,75,64,76.56,0,0.0,0,0.0,0,0,0,$0.0000,$1.0624,1689197,,,https://mve.re/go/3/jrwGa
10/21/2025,Competition Command,90 Estates Dr,SFR,Active,250,249,71.89,0,0.0,0,0.0,0,0,0,$0.0000,$4.1334,1689291,,,https://mve.re/go/1/0JxO1
10/22/2025,Competition Command,4215 Terrace St,SFR,Active,75,75,69.33,0,0.0,0,0.0,0,0,0,$0.0000,$1.2450,1689990,,,https://mve.re/go/2/Q9jY2
10/22/2025,Competition Command,2839 Bartlett St,SFR,Sold,75,73,73.97,0,0.0,0,0.0,0,0,0,$0.0000,$1.1952,1689693,,,https://mve.re/go/1/P6BQL
10/22/2025,Competition Command,2840 11th Ave,SFR,Sold,75,73,57.53,0,0.0,0,0.0,0,0,0,$0.0000,$1.2118,1689766,,,https://mve.re/go/3/aJk5G
10/23/2025,Competition Command,541 Boulevard Way,SFR,Sold,75,73,86.3,0,0.0,0,0.0,0,0,0,$0.0000,$1.1952,1690928,,,https://mve.re/go/3/Xpgke
10/23/2025,Competition Command,124 Arbor Drive,SFR,Sold,75,74,81.08,0,0.0,0,0.0,0,0,0,$0.0000,$1.2284,1691001,,,https://mve.re/go/3/8lL6n
10/24/2025,Competition Command,3920 Coolidge Ave,SFR,Sold,75,75,74.67,0,0.0,0,0.0,0,0,0,$0.0000,$1.2284,1692296,,,https://mve.re/go/1/dg1Qm
10/24/2025,Competition Command,1415 Trestle Glen Rd,SFR,Active,75,75,84.0,0,0.0,0,0.0,0,0,0,$0.0000,$1.2284,1692371,,,https://mve.re/go/2/jRaoM
10/24/2025,Competition Command,5663 Florence Ter,SFR,Active,75,75,72.0,0,0.0,0,0.0,0,0,0,$0.0000,$1.2450,1692446,,,https://mve.re/go/2/bENzD
10/25/2025,Competition Command,1 Kelton Court,SFR,Sold,75,74,63.51,0,0.0,0,0.0,0,0,0,$0.0000,$1.1952,1693922,,,https://mve.re/go/2/DR0aO
10/25/2025,Competition Command,4606 San Sebastian Ave,SFR,Sold,75,75,86.67,0,0.0,0,0.0,0,0,0,$0.0000,$1.2118,1693699,,,https://mve.re/go/1/VLZ0b
10/25/2025,Competition Command,4343 Howe Street,SFR,Active,75,74,87.84,0,0.0,0,0.0,0,0,0,$0.0000,$1.2284,1693774,,,https://mve.re/go/1/wxleV
10/25/2025,Competition Command,108 Hillside Avenue,SFR,Active,75,74,79.73,0,0.0,0,0.0,0,0,0,$0.0000,$1.2284,1693848,,,https://mve.re/go/2/jRaYG
10/26/2025,Competition Command,16032 Broadway Ter,SFR,Active,75,75,85.33,0,0.0,0,0.0,0,0,0,$0.0000,$1.2450,1695083,,,https://mve.re/go/3/RNkLV
10/26/2025,Competition Command,121 Nova Dr,SFR,Sold,75,59,84.75,0,0.0,0,0.0,0,0,0,$0.0000,$0.9794,1695024,,,https://mve.re/go/3/NQ3jO
10/27/2025,Competition Command,224 Beauforest Drive,SFR,Active,75,74,89.19,0,0.0,0,0.0,0,0,0,$0.0000,$1.2118,1696294,,,https://mve.re/go/2/VEMnj
10/28/2025,Competition Command,690 Mandana Blvd,SFR,Sold,75,75,84.0,0,0.0,0,0.0,0,0,0,$0.0000,$1.1952,1697289,,,https://mve.re/go/1/rbErn
10/28/2025,Competition Command, Scarborough,SFR,Active,75,74,81.08,0,0.0,0,0.0,0,0,0,$0.0000,$1.2284,1697364,,,https://mve.re/go/3/aJGv8
10/29/2025,Competition Command,711 Arimo Ave,SFR,Sold,75,72,75.0,0,0.0,0,0.0,0,0,0,$0.0000,$1.1620,1698458,,,https://mve.re/go/1/P6b7V
10/29/2025,Competition Command,6153 Ascot Dr,SFR,Active,75,47,85.11,0,0.0,0,0.0,0,0,0,$0.0000,$0.7470,1698530,,,https://mve.re/go/3/nvepa
10/30/2025,Competition Command,73 Fairview Ave,SFR,Sold,75,74,85.14,0,0.0,0,0.0,0,0,0,$0.0000,$1.2284,1699547,,,https://mve.re/go/1/MDxby
10/30/2025,Competition Command,6635 Banning Dr,SFR,Active,75,74,83.78,0,0.0,0,0.0,0,0,0,$0.0000,$1.1952,1699621,,,https://mve.re/go/3/P55PR
10/31/2025,Competition Command,1462 Trestle Glen Rd,SFR,Sold,75,75,82.67,0,0.0,0,0.0,0,0,0,$0.0000,$1.2450,1701001,,,https://mve.re/go/2/2YeNR
10/31/2025,Competition Command,121 Scenic Ave,SFR,Active,75,75,88.0,0,0.0,0,0.0,0,0,0,$0.0000,$1.2450,1701076,,,https://mve.re/go/3/vmMeO
