Phone,FriendlyName,AreaCode,City,State,Outbound2025,Inbound2025,ResponseRate,DateCreated
+1 (714) 597-6680,(714) 597-6680 - Delivery Farm,714,Orange County,CA,2526,90,3.56,09-10-2021
+1 (714) 597-6067,(714) 597-6067 - Delivery Farm,714,Orange County,CA,2515,79,3.14,09-10-2021
+1 (714) 586-8806,(714) 586-8806 - Delivery Farm,714,Orange County,CA,2468,77,3.12,09-10-2021
+1 (714) 597-6177,(714) 597-6177 - Delivery Farm,714,Orange County,CA,2457,74,3.01,09-10-2021
+1 (714) 242-8570,Delivery Farm 25,714,Orange County,CA,2444,77,3.15,09-04-2020
+1 (714) 519-2313,(714) 519-2313 - Delivery Farm,714,Orange County,CA,2442,101,4.14,09-10-2021
+1 (714) 586-8248,(714) 586-8248 - Delivery Farm,714,Orange County,CA,2433,77,3.16,09-10-2021
+1 (949) 519-4254,(949) 519-4254 - Delivery Farm,949,South Orange County,CA,2002,86,4.3,09-10-2021
+1 (949) 519-4240,(949) 519-4240 - Delivery Farm,949,South Orange County,CA,1989,68,3.42,09-10-2021
+1 (949) 373-3998,Delivery Farm 23,949,South Orange County,CA,1965,82,4.17,09-04-2020
+1 (949) 506-2370,(949) 506-2370 - Delivery Farm,949,South Orange County,CA,1963,82,4.18,09-10-2021
+1 (949) 519-4175,(949) 519-4175 - Delivery Farm,949,South Orange County,CA,1949,65,3.34,09-10-2021
+1 (949) 519-4321,(949) 519-4321 - Delivery Farm,949,South Orange County,CA,1946,83,4.27,09-10-2021
+1 (949) 379-1246,(949) 379-1246 - Delivery Farm,949,South Orange County,CA,1914,58,3.03,09-10-2021
+1 (949) 326-2882,(949) 326-2882 - Delivery Farm,949,South Orange County,CA,1913,71,3.71,09-10-2021
+1 (949) 519-4171,(949) 519-4171 - Delivery Farm,949,South Orange County,CA,1904,67,3.52,09-10-2021
+1 (949) 426-7706,(949) 426-7706 - Delivery Farm,949,South Orange County,CA,1888,63,3.34,09-10-2021
+1 (408) 549-2182,(408) 549-2182 - Delivery Farm,408,San Jose,CA,1812,57,3.15,10-01-2021
+1 (650) 618-2209,(650) 618-2209 - Delivery Farm,650,San Mateo/Palo Alto,CA,1738,67,3.86,10-01-2021
+1 (408) 351-4056,(408) 351-4056 - Delivery Farm,408,San Jose,CA,1706,380,22.27,10-01-2021
+1 (650) 618-2160,(650) 618-2160 - Delivery Farm,650,San Mateo/Palo Alto,CA,1672,47,2.81,10-01-2021
+1 (424) 414-7293,Delivery Farm 3,424,Los Angeles,CA,1659,45,2.71,10-26-2019
+1 (408) 549-2468,(408) 549-2468 - Delivery Farm,408,San Jose,CA,1585,44,2.78,10-01-2021
+1 (209) 314-8944,Delivery Farm 17,209,Stockton/Modesto,CA,1570,46,2.93,09-04-2020
+1 (858) 203-2710,Delivery Farm 7,858,San Diego,CA,1266,64,5.06,09-04-2020
+1 (925) 304-3717,(925) 304-3717 - Delivery Farm,925,Contra Costa,CA,1260,40,3.17,05-03-2021
+1 (858) 203-2747,Delivery Farm 9,858,San Diego,CA,1232,42,3.41,09-04-2020
+1 (925) 744-6486,(925) 744-6486 - Delivery Farm,925,Contra Costa,CA,1232,42,3.41,10-01-2021
+1 (858) 203-2776,Delivery Farm 8,858,San Diego,CA,1227,43,3.5,09-04-2020
+1 (858) 203-2782,Delivery Farm 10,858,San Diego,CA,1227,48,3.91,09-04-2020
+1 (858) 203-2785,Delivery Farm 16,858,San Diego,CA,1217,38,3.12,09-04-2020
+1 (858) 203-2795,Delivery Farm 13,858,San Diego,CA,1204,45,3.74,09-04-2020
+1 (858) 203-2746,Delivery Farm 26,858,San Diego,CA,1193,47,3.94,09-04-2020
+1 (858) 203-2735,Delivery Farm 22,858,San Diego,CA,1190,48,4.03,09-04-2020
+1 (858) 203-2790,Delivery Farm 14,858,San Diego,CA,1188,45,3.79,09-04-2020
+1 (925) 744-6307,(925) 744-6307 - Delivery Farm,925,Contra Costa,CA,1182,39,3.3,10-01-2021
+1 (858) 203-2733,Delivery Farm 12,858,San Diego,CA,1181,50,4.23,09-04-2020
+1 (858) 203-2760,Delivery Farm 18,858,San Diego,CA,1173,60,5.12,09-04-2020
+1 (925) 744-6462,(925) 744-6462 - Delivery Farm,925,Contra Costa,CA,1168,48,4.11,10-01-2021
+1 (858) 203-2724,Delivery Farm 6,858,San Diego,CA,1165,47,4.03,09-04-2020
+1 (858) 203-2714,Delivery Farm 19,858,San Diego,CA,1159,33,2.85,09-04-2020
+1 (925) 744-6488,(925) 744-6488 - Delivery Farm,925,Contra Costa,CA,1158,48,4.15,10-01-2021
+1 (858) 203-2744,Delivery Farm 11,858,San Diego,CA,1135,37,3.26,09-04-2020
+1 (321) 257-3488,(321) 257-3488 - Delivery Farm,321,Orlando,FL,855,31,3.63,09-10-2021
+1 (407) 305-6266,(407) 305-6266 - Delivery Farm,407,Orlando,FL,844,27,3.2,09-10-2021
+1 (407) 305-6202,(407) 305-6202 - Delivery Farm,407,Orlando,FL,828,25,3.02,09-10-2021
+1 (352) 290-2048,(352) 290-2048 - Delivery Farm,352,Gainesville/Ocala,FL,824,31,3.76,09-10-2021
+1 (407) 305-6110,(407) 305-6110 - Delivery Farm,407,Orlando,FL,796,25,3.14,09-10-2021
+1 (352) 290-4570,(352) 290-4570 - Delivery Farm,352,Gainesville/Ocala,FL,790,22,2.78,09-10-2021
+1 (352) 280-3052,(352) 280-3052 - Delivery Farm,352,Gainesville/Ocala,FL,781,50,6.4,09-10-2021
+1 (512) 722-7714,(512) 722-7714 - Delivery Farm,512,Austin,TX,1220,39,3.2,10-19-2021
+1 (512) 722-7452,(512) 722-7452 - Delivery Farm,512,Austin,TX,1219,44,3.61,10-19-2021
+1 (512) 722-7562,(512) 722-7562 - Delivery Farm,512,Austin,TX,1209,34,2.81,10-19-2021
+1 (512) 722-7694,(512) 722-7694 - Delivery Farm,512,Austin,TX,1184,43,3.63,10-19-2021
+1 (512) 722-7655,(512) 722-7655 - Delivery Farm,512,Austin,TX,1148,34,2.96,10-19-2021
